year,avg_temp
1750,9.31
1751,8.94
1752,4.65
1753,8.12
1754,7.88
1755,7.69
1756,8.64
1757,8.48
1758,7.76
1759,8.69
1760,8.36
1761,8.86
1762,7.81
1763,7.80
1764,8.25
1765,7.91
1766,8.27
1767,7.59
1768,7.64
1769,7.97
1770,7.98
1771,7.10
1772,8.26
1773,8.94
1774,7.76
1775,9.27
1776,8.00
1777,7.79
1778,8.68
1779,9.91
1780,8.27
1781,9.32
1782,7.67
1783,9.08
1784,6.92
1785,7.02
1786,7.06
1787,8.50
1788,7.82
1789,8.29
1790,8.48
1791,8.79
1792,8.32
1793,8.51
1794,9.24
1795,8.04
1796,8.46
1797,9.16
1798,8.83
1799,6.31
1800,7.90
1801,8.80
1802,8.21
1803,7.39
1804,7.79
1805,6.72
1806,8.78
1807,8.44
1808,7.70
1809,7.91
1810,7.76
1811,9.25
1812,6.91
1813,8.16
1814,6.88
1815,7.90
1816,7.06
1817,8.22
1818,8.59
1819,8.87
1820,7.30
1821,8.47
1822,9.50
1823,7.65
1824,8.89
1825,8.85
1826,9.04
1827,8.25
1828,8.52
1829,6.06
1830,7.42
1831,8.74
1832,7.97
1833,8.31
1834,9.79
1835,8.32
1836,8.15
1837,7.61
1838,6.54
1839,7.87
1840,7.29
1841,8.25
1842,8.44
1843,8.49
1844,7.18
1845,7.24
1846,9.45
1847,7.85
1848,8.25
1849,7.50
1850,7.67
1851,8.02
1852,8.84
1853,6.90
1854,8.21
1855,6.38
1856,7.66
1857,8.93
1858,7.72
1859,9.10
1860,7.27
1861,8.36
1862,8.43
1863,9.09
1864,6.75
1865,8.34
1866,8.76
1867,7.69
1868,9.57
1869,8.23
1870,7.25
1871,6.83
1872,9.26
1873,8.61
1874,8.47
1875,7.86
1876,7.99
1877,8.11
1878,8.71
1879,6.61
1880,8.44
1881,7.09
1882,8.73
1883,8.15
1884,8.89
1885,7.78
1886,7.98
1887,7.41
1888,6.95
1889,7.91
1890,7.76
1891,7.79
1892,7.44
1893,8.05
1894,8.52
1895,7.59
1896,8.21
1897,8.14
1898,8.69
1899,8.52
1900,8.53
1901,8.04
1902,7.15
1903,8.67
1904,8.47
1905,8.26
1906,8.73
1907,7.91
1908,8.01
1909,7.52
1910,8.92
1911,9.36
1912,8.14
1913,8.92
1914,9.21
1915,7.78
1916,8.37
1917,7.81
1918,8.60
1919,7.32
1920,8.73
1921,9.21
1922,7.27
1923,7.78
1924,7.75
1925,8.67
1926,8.85
1927,8.13
1928,8.32
1929,7.34
1930,8.94
1931,7.91
1932,8.82
1933,8.31
1934,9.96
1935,8.85
1936,8.70
1937,8.77
1938,9.37
1939,8.87
1940,6.67
1941,7.25
1942,7.14
1943,9.10
1944,8.78
1945,9.25
1946,8.47
1947,8.24
1948,9.35
1949,9.48
1950,8.77
1951,8.91
1952,7.93
1953,9.34
1954,7.98
1955,7.96
1956,7.29
1957,8.92
1958,8.39
1959,9.36
1960,8.63
1961,9.16
1962,7.54
1963,7.30
1964,8.23
1965,7.84
1966,8.46
1967,9.38
1968,8.67
1969,8.09
1970,7.91
1971,8.92
1972,8.30
1973,8.80
1974,9.21
1975,9.44
1976,8.72
1977,8.93
1978,8.27
1979,7.63
1980,8.00
1981,8.40
1982,9.09
1983,9.41
1984,8.44
1985,7.66
1986,8.09
1987,7.55
1988,9.35
1989,9.93
1990,10.08
1991,8.79
1992,9.84
1993,8.57
1994,9.73
1995,9.16
1996,7.42
1997,9.27
1998,9.31
1999,10.02
2000,10.12
2001,9.19
2002,9.86
2003,9.48
2004,9.48
2005,9.58
2006,10.15
2007,10.37
2008,10.04
2009,9.61
2010,7.97
2011,9.73
2012,9.20
2013,9.17
